2003001,10,11,12,13,26,28,11
2003002,04,09,19,20,21,26,12
2003003,01,07,10,23,28,32,16
2003004,04,06,07,10,13,25,03
2003005,04,06,15,17,30,31,16
2003006,01,03,10,21,26,27,06
2003007,01,09,19,21,23,26,07
2003008,05,08,09,14,17,23,08
2003009,05,09,18,20,22,30,09
2003010,01,02,08,13,17,24,13
2003011,04,05,11,12,30,32,15
2003012,02,12,16,17,27,30,12
2003013,08,13,17,21,23,32,12
2003014,03,05,07,08,21,31,02
2003015,04,11,19,25,26,32,13
2003016,11,17,28,30,31,33,06
2003017,05,08,18,23,25,31,06
2003018,05,16,19,20,25,28,13
2003019,04,08,12,13,16,33,09
2003020,07,10,25,26,27,32,04
2003021,14,15,18,25,26,30,01
2003022,02,07,11,12,14,32,08
2003023,01,10,20,22,26,31,02
2003024,02,07,15,17,22,30,14
2003025,01,05,11,13,14,27,12
2003026,08,13,15,26,29,31,16
2003027,01,11,14,17,27,28,15
2003028,06,13,16,20,28,32,07
2003029,02,07,15,26,29,32,10
2003030,02,06,13,14,23,27,07
2003031,11,17,20,22,28,32,01
2003032,04,11,25,27,29,30,13
2003033,01,07,14,20,27,30,10
2003034,08,13,14,16,23,25,14
2003035,03,04,05,08,10,11,08
2003036,07,21,24,25,27,28,15
2003037,09,14,17,18,26,32,07
2003038,05,07,08,24,25,27,16
2003039,03,05,23,24,27,32,03
2003040,04,05,06,12,14,23,16
2003041,02,03,17,18,24,25,11
2003042,03,05,07,10,15,20,07
2003043,02,08,10,19,20,32,13
2003044,02,05,09,16,32,33,15
2003045,03,07,14,15,17,32,03
2003046,07,08,10,11,17,26,11
2003047,03,17,26,28,32,33,16
2003048,10,12,20,28,30,31,09
2003049,03,06,07,13,24,25,15
2003050,02,08,17,23,24,26,13
2003051,04,13,15,17,24,27,01
2003052,01,12,13,23,30,31,11
2003053,15,19,20,21,28,29,13
2003054,02,05,09,21,31,33,12
2003055,06,13,16,21,28,31,16
2003056,08,17,21,26,28,29,07
2003057,18,19,24,25,30,31,16
2003058,09,11,16,28,32,33,02
2003059,02,03,05,06,18,30,04
2003060,02,04,06,17,21,28,11
2003061,03,05,20,21,28,32,02
2003062,01,06,12,19,20,32,14
2003063,05,08,09,14,21,33,11
2003064,04,06,08,12,15,30,01
2003065,06,15,16,17,30,33,11
2003066,03,07,08,20,24,32,14
2003067,05,11,12,13,27,31,10
2003068,09,19,25,27,32,33,11
2003069,07,11,16,19,26,28,11
2003070,01,02,04,17,18,19,08
2003071,09,11,12,14,15,33,11
2003072,03,06,08,11,19,27,11
2003073,02,12,14,21,23,30,13
2003074,02,12,19,22,27,32,01
2003075,16,17,19,22,31,33,11
2003076,01,13,16,18,20,29,02
2003077,04,12,16,22,24,25,06
2003078,07,12,23,26,29,30,11
